2022-23 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Dighton-Rehoboth,06500000,     667,      12,   1.8,   0.6,   1.2,   2.3,   3.1
Douglas,00770000,     323,       1,   0.3,   1.4,   0.0,   0.0,   0.0
Dover-Sherborn,06550000,     669,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Dracut,00790000,     841,      19,   2.3,   0.0,   3.7,   2.5,   3.1
Dudley-Charlton Reg,06580000,     918,      11,   1.2,   1.8,   0.5,   1.3,   1.0
Duxbury,00820000,     924,       0,   0.0,   0.0,   0.0,   0.0,   0.0
East Bridgewater,00830000,     577,       3,   0.5,   0.0,   1.6,   0.0,   0.6
East Longmeadow,00870000,     812,       3,   0.4,   0.0,   0.5,   0.0,   0.9
Easthampton,00860000,     367,       8,   2.2,   3.6,   3.9,   0.0,   1.1
Easton,00880000,"   1,070",       2,   0.2,   0.0,   0.0,   0.0,   0.7
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,     364,       2,   0.5,   0.0,   0.0,   2.2,   0.0
Essex North Shore Agricultural and Technical School District,08170000,"   1,694",       5,   0.3,   0.2,   0.0,   0.7,   0.3
Everett,00930000,"   2,249",     107,   4.8,   3.9,   5.8,   4.9,   4.3
Excel Academy Charter (District),04100000,     674,       4,   0.6,   0.0,   0.6,   0.6,   1.2
Fairhaven,00940000,     632,      10,   1.6,   1.3,   1.3,   2.7,   1.2
Fall River,00950000,"   2,660",     134,   5.0,   0.7,   4.7,   8.8,   7.1
Falmouth,00960000,     762,       7,   0.9,   0.0,   1.9,   1.7,   0.0
Fitchburg,00970000,"   1,425",      29,   2.0,   1.5,   2.1,   1.4,   2.9
Four Rivers Charter Public (District),04130000,     143,       2,   1.4,   0.0,   0.0,   3.4,   2.6
Foxborough,00990000,     776,       4,   0.5,   0.0,   0.0,   0.5,   1.6
Foxborough Regional Charter (District),04460000,     380,       8,   2.1,   5.6,   1.0,   1.1,   0.0
Framingham,01000000,"   2,566",     137,   5.3,   6.3,   7.0,   5.2,   2.4
Francis W. Parker Charter Essential (District),04780000,     250,       1,   0.4,   0.0,   0.0,   0.0,   1.5
Franklin,01010000,"   1,614",       3,   0.2,   0.0,   0.3,   0.2,   0.2
Franklin County Regional Vocational Technical,08180000,     602,       7,   1.2,   0.0,   1.2,   2.0,   1.6
Freetown-Lakeville,06650000,     726,       3,   0.4,   0.0,   0.0,   1.1,   0.6
Frontier,06700000,     379,       2,   0.5,   0.0,   1.0,   1.0,   0.0
Gardner,01030000,     711,      19,   2.7,   2.7,   4.0,   3.2,   0.6
Gateway,06720000,     161,       3,   1.9,   0.0,   3.1,   4.3,   0.0
Georgetown,01050000,     299,       2,   0.7,   1.2,   0.0,   1.4,   0.0
Gill-Montague,06740000,     189,       8,   4.2,   2.0,   2.0,   6.9,   6.1
Global Learning Charter Public (District),04960000,     160,       3,   1.9,   0.0,   0.0,  10.7,   0.0
Gloucester,01070000,     796,      15,   1.9,   1.4,   3.9,   1.0,   1.2
Grafton,01100000,     868,       3,   0.3,   0.5,   0.9,   0.0,   0.0
Granby,01110000,     206,       1,   0.5,   0.0,   0.0,   0.0,   1.8
Greater Commonwealth Virtual District,39010000,     609,      81,  13.3,  17.2,  15.2,  11.0,  10.3
Greater Fall River Regional Vocational Technical,08210000,"   1,412",       7,   0.5,   0.3,   0.3,   0.6,   0.9
Greater Lawrence Regional Vocational Technical,08230000,"   1,692",       2,   0.1,   0.0,   0.2,   0.2,   0.0
