2022-23 SAT Performance Report - All Students,,,,,
District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Manchester Essex Regional,06980000,     105,622,,594
Mansfield,01670000,     270,582,,574
Map Academy Charter School (District),35170000,       2,,,
Marblehead,01680000,     213,592,,570
Marlborough,01700000,     153,513,,496
Marshfield,01710000,     257,574,,563
Martha's Vineyard,07000000,     129,570,,550
Martha's Vineyard Charter Public School (District),04660000,       4,,,
Masconomet,07050000,     278,585,,574
Mashpee,01720000,      67,559,,536
Match Charter Public School (District),04690000,      64,438,,448
Maynard,01740000,      36,601,,573
Medfield,01750000,     205,602,,603
Medford,01760000,     163,578,,557
Medway,01770000,     151,576,,564
Melrose,01780000,     187,597,,562
Mendon-Upton,07100000,     137,593,,548
Methuen,01810000,     155,547,,538
Middleborough,01820000,     140,553,,541
Milford,01850000,     143,558,,528
Millbury,01860000,      52,537,,525
Millis,01870000,      71,559,,544
Milton,01890000,     340,587,,571
Minuteman Regional Vocational Technical,08300000,      98,576,,529
Mohawk Trail,07170000,      11,588,,550
Monomoy Regional School District,07120000,      84,591,,566
Monson,01910000,       4,,,
Montachusett Regional Vocational Technical,08320000,      92,564,,542
Mount Greylock,07150000,     105,621,,587
Mystic Valley Regional Charter (District),04700000,     105,590,,607
Nantucket,01970000,      77,542,,515
Narragansett,07200000,      17,555,,518
Nashoba,07250000,     205,594,,591
Nashoba Valley Regional Vocational Technical,08520000,      33,539,,506
Natick,01980000,     351,609,,596
Nauset,06600000,     178,553,,525
Needham,01990000,     379,626,,632
Neighborhood House Charter (District),04440000,     113,440,,435
New Bedford,02010000,     151,502,,469
New Heights Charter School of Brockton (District),35130000,       9,,,
Newburyport,02040000,     188,596,,592
Newton,02070000,     860,630,,637
Norfolk County Agricultural,09150000,      60,555,,510
North Adams,02090000,      51,467,,439
North Andover,02110000,     270,585,,577
North Attleborough,02120000,     243,574,,567
North Brookfield,02150000,       6,,,
North Middlesex,07350000,     117,570,,536
North Reading,02170000,     141,586,,580
Northampton,02100000,     121,643,,599
Northampton-Smith Vocational Agricultural,04060000,       9,,,
Northboro-Southboro,07300000,     326,608,,618
Northbridge,02140000,      77,543,,533
Northeast Metropolitan Regional Vocational Technical,08530000,     100,495,,474
Northern Berkshire Regional Vocational Technical,08510000,      46,517,,481
Norton,02180000,     120,569,,550
Norwell,02190000,     201,602,,600
Norwood,02200000,     183,568,,554
Old Colony Regional Vocational Technical,08550000,      46,538,,519
Old Rochester,07400000,     154,571,,560
Oxford,02260000,      22,534,,520
Palmer,02270000,      27,566,,543
Pathfinder Regional Vocational Technical,08600000,       6,,,
Paulo Freire Social Justice Charter School (District),35010000,      45,392,,384
Peabody,02290000,     181,550,,543
Pembroke,02310000,     138,577,,577
Pentucket,07450000,     115,577,,564
Pioneer Charter School of Science (District),04940000,      46,543,,568
Pioneer Charter School of Science II (District),35060000,      54,566,,623
Pioneer Valley,07500000,      28,549,,516
Pioneer Valley Chinese Immersion Charter (District),04970000,      32,644,,621
Pioneer Valley Performing Arts Charter Public (District),04790000,      31,587,,551
Pittsfield,02360000,     109,549,,519
Plymouth,02390000,     438,538,,512
Prospect Hill Academy Charter (District),04870000,      42,522,,494
Quabbin,07530000,      68,564,,550
Quaboag Regional,07780000,      90,521,,489
Quincy,02430000,     577,568,,581
Ralph C Mahar,07550000,      25,559,,528
Randolph,02440000,      45,537,,521
Reading,02460000,     323,587,,583
Revere,02480000,     236,525,,516
Rising Tide Charter Public (District),04830000,      50,569,,525
Rockland,02510000,      77,551,,519
Rockport,02520000,      48,584,,574
Roxbury Preparatory Charter (District),04840000,     316,429,,427
Salem,02580000,     147,466,,460
Salem Academy Charter (District),04850000,     129,512,,498
Sandwich,02610000,     115,569,,557
Saugus,02620000,      96,534,,513
Scituate,02640000,     232,571,,552
Seekonk,02650000,      94,572,,553
Sharon,02660000,     264,634,,652
Shawsheen Valley Regional Vocational Technical,08710000,     127,527,,506
Shrewsbury,02710000,     458,600,,618
Silver Lake,07600000,     208,557,,551
Sizer School: A North Central Charter Essential (District),04740000,      12,564,,523
Somerset Berkley Regional School District,07630000,     170,553,,549
Somerville,02740000,     183,577,,567
South Hadley,02780000,      78,567,,564
South Middlesex Regional Vocational Technical,08290000,      40,562,,534
South Shore Charter Public (District),04880000,      89,524,,500
South Shore Regional Vocational Technical,08730000,      23,546,,521
Southbridge,02770000,      15,466,,457
Southeastern Regional Vocational Technical,08720000,      88,529,,506
Southern Berkshire,07650000,      26,572,,514
Southern Worcester County Regional Vocational School District,08760000,      92,530,,503
Southwick-Tolland-Granville Regional School District,07660000,      50,554,,539
Spencer-E Brookfield,07670000,      37,566,,544
Springfield,02810000,"   1,176",435,,423
Springfield International Charter (District),04410000,      18,551,,525
Stoneham,02840000,      98,542,,526
Stoughton,02850000,     148,564,,557
Sturgis Charter Public (District),04890000,     187,598,,577
Sutton,02900000,      67,577,,564
Swampscott,02910000,     141,601,,585
Swansea,02920000,      77,560,,525
TEC Connections Academy Commonwealth Virtual School District,39020000,      67,579,,527
Tantasqua,07700000,     208,559,,576
Taunton,02930000,     329,514,,489
Tewksbury,02950000,      62,583,,568
