"","City","Year","Median Price","Days on Market","One-Year % Change in Price","Five-Year % Change in Price","Ten-Year % Change in Price"
"120","Sharon",2011,400000,NA,NA,NA,NA
"121","Sherborn",2011,727500,NA,NA,NA,NA
"122","Shirley",2011,252400,NA,NA,NA,NA
"123","Somerville",2011,486500,NA,NA,NA,NA
"124","Southborough",2011,485000,NA,NA,NA,NA
"125","Stoneham",2011,360000,NA,NA,NA,NA
"126","Stoughton",2011,249900,NA,NA,NA,NA
"127","Stow",2011,473775,NA,NA,NA,NA
"128","Sudbury",2011,625000,NA,NA,NA,NA
"129","Swampscott",2011,357500,NA,NA,NA,NA
"130","Taunton",2011,210000,NA,NA,NA,NA
"131","Tewksbury",2011,311000,NA,NA,NA,NA
"132","Topsfield",2011,465000,NA,NA,NA,NA
"133","Townsend",2011,225000,NA,NA,NA,NA
"134","Tyngsborough",2011,315000,NA,NA,NA,NA
"135","Wakefield",2011,377988,NA,NA,NA,NA
"136","Walpole",2011,422450,NA,NA,NA,NA
"137","Waltham",2011,375000,NA,NA,NA,NA
"138","Watertown",2011,432500,NA,NA,NA,NA
"139","Wayland",2011,560000,NA,NA,NA,NA
"140","Wellesley",2011,1000000,NA,NA,NA,NA
"141","Wenham",2011,422500,NA,NA,NA,NA
"142","West Bridgewater",2011,264000,NA,NA,NA,NA
"143","West Newbury",2011,449500,NA,NA,NA,NA
"144","Westford",2011,467750,NA,NA,NA,NA
"145","Weston",2011,1150000,NA,NA,NA,NA
"146","Westwood",2011,527450,NA,NA,NA,NA
"147","Weymouth",2011,270000,NA,NA,NA,NA
"148","Whitman",2011,233000,NA,NA,NA,NA
"149","Wilmington",2011,338000,NA,NA,NA,NA
"150","Winchester",2011,720000,NA,NA,NA,NA
"151","Winthrop",2011,305000,NA,NA,NA,NA
"152","Woburn",2011,315000,NA,NA,NA,NA
"153","Wrentham",2011,395000,NA,NA,NA,NA
"154","Abington",2016,345000,NA,NA,NA,NA
"155","Acton",2016,598500,NA,NA,NA,NA
"156","Amesbury",2016,330925,NA,NA,NA,NA
"157","Andover",2016,608450,NA,NA,NA,NA
"158","Arlington",2016,709750,NA,NA,NA,NA
"159","Ashby",2016,229900,NA,NA,NA,NA
"160","Ashland",2016,419950,NA,NA,NA,NA
"161","Attleboro",2016,310000,NA,NA,NA,NA
"162","Avon",2016,312000,NA,NA,NA,NA
"163","Ayer",2016,325000,NA,NA,NA,NA
"164","Bedford",2016,705000,NA,NA,NA,NA
"165","Bellingham",2016,306500,NA,NA,NA,NA
"166","Belmont",2016,1010000,NA,NA,NA,NA
"167","Beverly",2016,435000,NA,NA,NA,NA
"168","Billerica",2016,393000,NA,NA,NA,NA
"169","Boston",2016,530000,NA,NA,NA,NA
"170","Boxborough",2016,615000,NA,NA,NA,NA
"171","Boxford",2016,620000,NA,NA,NA,NA
"172","Braintree",2016,436500,NA,NA,NA,NA
"173","Bridgewater",2016,359000,NA,NA,NA,NA
"174","Brockton",2016,245000,NA,NA,NA,NA
"175","Brookline",2016,1635000,NA,NA,NA,NA
"176","Burlington",2016,500000,NA,NA,NA,NA
"177","Cambridge",2016,1430000,NA,NA,NA,NA
"178","Canton",2016,519950,NA,NA,NA,NA
"179","Carlisle",2016,812375,NA,NA,NA,NA
"180","Carver",2016,324900,NA,NA,NA,NA
"181","Chelmsford",2016,390000,NA,NA,NA,NA
"182","Chelsea",2016,349000,NA,NA,NA,NA
"183","Cohasset",2016,895000,NA,NA,NA,NA
"184","Concord",2016,950000,NA,NA,NA,NA
"185","Danvers",2016,421000,NA,NA,NA,NA
"186","Dedham",2016,436750,NA,NA,NA,NA
"187","Dover",2016,1063500,NA,NA,NA,NA
"188","Dracut",2016,325000,NA,NA,NA,NA
"189","Dunstable",2016,458000,NA,NA,NA,NA
"190","Duxbury",2016,619000,NA,NA,NA,NA
"191","East Bridgewater",2016,321450,NA,NA,NA,NA
"192","Easton",2016,405000,NA,NA,NA,NA
"193","Essex",2016,481375,NA,NA,NA,NA
"194","Everett",2016,360000,NA,NA,NA,NA
"195","Foxborough",2016,400000,NA,NA,NA,NA
"196","Framingham",2016,400000,NA,NA,NA,NA
"197","Franklin",2016,412500,NA,NA,NA,NA
"198","Georgetown",2016,375000,NA,NA,NA,NA
"199","Gloucester",2016,393000,NA,NA,NA,NA
"200","Groton",2016,476500,NA,NA,NA,NA
"201","Groveland",2016,385900,NA,NA,NA,NA
"202","Halifax",2016,364900,NA,NA,NA,NA
"203","Hamilton",2016,549500,NA,NA,NA,NA
"204","Hanover",2016,467000,NA,NA,NA,NA
"205","Hanson",2016,326450,NA,NA,NA,NA
"206","Harvard",2016,599850,NA,NA,NA,NA
"207","Haverhill",2016,309000,NA,NA,NA,NA
"208","Hingham",2016,715000,NA,NA,NA,NA
"209","Holbrook",2016,295000,NA,NA,NA,NA
"210","Holliston",2016,422000,NA,NA,NA,NA
"211","Hopkinton",2016,643950,NA,NA,NA,NA
"212","Hudson",2016,350000,NA,NA,NA,NA
"213","Hull",2016,385000,NA,NA,NA,NA
"214","Ipswich",2016,537250,NA,NA,NA,NA
"215","Kingston",2016,400000,NA,NA,NA,NA
"216","Lakeville",2016,357000,NA,NA,NA,NA
"217","Lawrence",2016,231550,NA,NA,NA,NA
"218","Lexington",2016,1082500,NA,NA,NA,NA
"219","Lincoln",2016,1207500,NA,NA,NA,NA
"220","Littleton",2016,491056,NA,NA,NA,NA
"221","Lowell",2016,260000,NA,NA,NA,NA
"222","Lynn",2016,292500,NA,NA,NA,NA
"223","Lynnfield",2016,635000,NA,NA,NA,NA
"224","Malden",2016,385000,NA,NA,NA,NA
"225","Manchester-by-the-Sea",2016,926000,NA,NA,NA,NA
"226","Mansfield",2016,444900,NA,NA,NA,NA
"227","Marblehead",2016,619000,NA,NA,NA,NA
"228","Marlborough",2016,335000,NA,NA,NA,NA
"229","Marshfield",2016,405000,NA,NA,NA,NA
"230","Maynard",2016,345000,NA,NA,NA,NA
"231","Medfield",2016,687500,NA,NA,NA,NA
"232","Medford",2016,515500,NA,NA,NA,NA
"233","Medway",2016,381250,NA,NA,NA,NA
"234","Melrose",2016,552500,NA,NA,NA,NA
"235","Merrimac",2016,420000,NA,NA,NA,NA
"236","Methuen",2016,308500,NA,NA,NA,NA
"237","Middleborough",2016,282500,NA,NA,NA,NA
"238","Middleton",2016,560100,NA,NA,NA,NA
"239","Milford",2016,316500,NA,NA,NA,NA
"240","Millis",2016,399900,NA,NA,NA,NA
"241","Milton",2016,625000,NA,NA,NA,NA
"242","Nahant",2016,535000,NA,NA,NA,NA
"243","Natick",2016,552000,NA,NA,NA,NA
"244","Needham",2016,913500,NA,NA,NA,NA
"245","Newbury",2016,470000,NA,NA,NA,NA
"246","Newburyport",2016,540950,NA,NA,NA,NA
"247","Newton",2016,1100000,NA,NA,NA,NA
"248","Norfolk",2016,520000,NA,NA,NA,NA
"249","North Andover",2016,540000,NA,NA,NA,NA
"250","North Attleboro",2016,349900,NA,NA,NA,NA
"251","North Reading",2016,522500,NA,NA,NA,NA
"252","Norton",2016,345000,NA,NA,NA,NA
"253","Norwell",2016,630000,NA,NA,NA,NA
"254","Norwood",2016,425000,NA,NA,NA,NA
"255","Peabody",2016,390000,NA,NA,NA,NA
"256","Pembroke",2016,366750,NA,NA,NA,NA
"257","Pepperell",2016,349900,NA,NA,NA,NA
"258","Plainville",2016,370000,NA,NA,NA,NA
"259","Plymouth",2016,329900,NA,NA,NA,NA
"260","Plympton",2016,374000,NA,NA,NA,NA
"261","Quincy",2016,418750,NA,NA,NA,NA
"262","Randolph",2016,310000,NA,NA,NA,NA
"263","Raynham",2016,335500,NA,NA,NA,NA
"264","Reading",2016,525000,NA,NA,NA,NA
"265","Revere",2016,358750,NA,NA,NA,NA
"266","Rockland",2016,282000,NA,NA,NA,NA
"267","Rockport",2016,479000,NA,NA,NA,NA
"268","Rowley",2016,440000,NA,NA,NA,NA
"269","Salem",2016,364000,NA,NA,NA,NA
"270","Salisbury",2016,318000,NA,NA,NA,NA
"271","Saugus",2016,376000,NA,NA,NA,NA
"272","Scituate",2016,515000,NA,NA,NA,NA
"273","Sharon",2016,510000,NA,NA,NA,NA
"274","Sherborn",2016,745500,NA,NA,NA,NA
"275","Shirley",2016,320000,NA,NA,NA,NA
"276","Somerville",2016,725000,NA,NA,NA,NA
"277","Southborough",2016,550000,NA,NA,NA,NA
"278","Stoneham",2016,489500,NA,NA,NA,NA
"279","Stoughton",2016,340000,NA,NA,NA,NA
"280","Stow",2016,506000,NA,NA,NA,NA
"281","Sudbury",2016,700000,NA,NA,NA,NA
"282","Swampscott",2016,481750,NA,NA,NA,NA
"283","Taunton",2016,274000,NA,NA,NA,NA
"284","Tewksbury",2016,388000,NA,NA,NA,NA
"285","Topsfield",2016,610000,NA,NA,NA,NA
"286","Townsend",2016,256900,NA,NA,NA,NA
"287","Tyngsborough",2016,375000,NA,NA,NA,NA
"288","Wakefield",2016,485000,NA,NA,NA,NA
"289","Walpole",2016,470000,NA,NA,NA,NA
"290","Waltham",2016,525000,NA,NA,NA,NA
"291","Watertown",2016,621000,NA,NA,NA,NA
"292","Wayland",2016,720000,NA,NA,NA,NA
"293","Wellesley",2016,1290000,NA,NA,NA,NA
"294","Wenham",2016,563000,NA,NA,NA,NA
"295","West Bridgewater",2016,305000,NA,NA,NA,NA
"296","West Newbury",2016,569500,NA,NA,NA,NA
"297","Westford",2016,501250,NA,NA,NA,NA
"298","Weston",2016,1465000,NA,NA,NA,NA
"299","Westwood",2016,668500,NA,NA,NA,NA
"300","Weymouth",2016,355000,NA,NA,NA,NA
"301","Whitman",2016,324000,NA,NA,NA,NA
"302","Wilmington",2016,440000,NA,NA,NA,NA
"303","Winchester",2016,1062500,NA,NA,NA,NA
"304","Winthrop",2016,415000,NA,NA,NA,NA
"305","Woburn",2016,430000,NA,NA,NA,NA
"306","Wrentham",2016,464750,NA,NA,NA,NA
"307","Abington",2018,395000,41,NA,NA,NA
"308","Acton",2018,650000,43,NA,NA,NA
"309","Amesbury",2018,390950,52,NA,NA,NA
"310","Andover",2018,663000,51,NA,NA,NA
"311","Arlington",2018,805000,21,NA,NA,NA
"312","Ashby",2018,282000,62,NA,NA,NA
"313","Ashland",2018,465000,32,NA,NA,NA
"314","Attleboro",2018,332500,51,NA,NA,NA
"315","Avon",2018,349500,45,NA,NA,NA
"316","Ayer",2018,360000,50,NA,NA,NA
"317","Bedford",2018,729000,49,NA,NA,NA
"318","Bellingham",2018,337000,42,NA,NA,NA
"319","Belmont",2018,1160000,22,NA,NA,NA
"320","Beverly",2018,468200,45,NA,NA,NA
"321","Billerica",2018,450000,40,NA,NA,NA
"322","Boston",2018,615000,38,NA,NA,NA
"323","Boxborough",2018,675000,60,NA,NA,NA
"324","Boxford",2018,687500,107,NA,NA,NA
"325","Braintree",2018,498000,37,NA,NA,NA
"326","Bridgewater",2018,390000,51,NA,NA,NA
"327","Brockton",2018,295000,44,NA,NA,NA
"328","Brookline",2018,1777500,57,NA,NA,NA
"329","Burlington",2018,583000,42,NA,NA,NA
"330","Cambridge",2018,1400000,27,NA,NA,NA
"331","Canton",2018,565000,47,NA,NA,NA
"332","Carlisle",2018,875000,85,NA,NA,NA
