2023-24 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Scituate,02640000,     236.2, 100.0,  11.6 to 1,  92.5,  96.6,
Seekonk,02650000,     177.3,  99.9,  11.6 to 1,  91.9,  97.2,
Sharon,02660000,     273.8,  99.6,  12.6 to 1,  87.6,  94.2,
Shawsheen Valley Regional Vocational Technical,08710000,     131.9,  97.0,   9.9 to 1,  90.1,  88.6,
Sherborn,02690000,      34.3, 100.0,  11.7 to 1,  89.8,  97.1,
Shrewsbury,02710000,     437.3,  98.5,  13.5 to 1,  87.4,  96.6,
Shutesbury,02720000,      17.7, 100.0,   6.3 to 1,  94.4,  94.4,
Silver Lake,07600000,     128.1, 100.0,  12.4 to 1,  91.4,  95.3,
Sizer School: A North Central Charter Essential (District),04740000,      31.1,  85.3,   9.7 to 1,  62.1,  77.5,
Somerset,02730000,     132.4, 100.0,  12.1 to 1,  91.6,  96.9,
Somerset Berkley Regional School District,07630000,      77.7,  98.7,  12.4 to 1,  94.8,  96.1,
Somerville,02740000,     440.7,  99.1,  11.2 to 1,  79.2,  94.9,
South Hadley,02780000,     151.9,  98.0,  10.8 to 1,  84.9,  96.9,
South Middlesex Regional Vocational Technical,08290000,      91.3,  96.7,   9.5 to 1,  81.9,  83.1,
South Shore Charter Public (District),04880000,      46.4,  85.4,  22.7 to 1,  79.2,  84.2,
South Shore Regional Vocational Technical,08730000,      64.3,  98.4,  10.4 to 1,  77.2,  87.3,
Southampton,02750000,      36.5,  98.4,  12.9 to 1,  92.9, 100.0,
Southborough,02760000,     109.8,  99.5,  11.9 to 1,  95.0,  93.4,
Southbridge,02770000,     171.2,  92.9,  11.0 to 1,  46.2,  87.7,
Southeastern Regional Vocational Technical,08720000,     129.0,  98.4,  12.4 to 1,  78.3,  86.0,
Southern Berkshire,07650000,      76.5,  98.4,   8.0 to 1,  83.5,  92.2,
Southern Worcester County Regional Vocational School District,08760000,     115.0, 100.0,  10.4 to 1,  85.4,  90.4,
Southwick-Tolland-Granville Regional School District,07660000,     119.0, 100.0,  11.0 to 1,  90.1,  95.0,
Spencer-E Brookfield,07670000,     117.5, 100.0,  12.1 to 1,  78.1,  90.0,
Springfield,02810000,"   2,171.5",  94.8,  10.9 to 1,  73.2,  88.1,
Springfield International Charter (District),04410000,      79.1,  79.6,  18.7 to 1,  57.5,  75.9,
Springfield Preparatory Charter School (District),35100000,      42.3,  63.7,  11.5 to 1,  59.8,  97.3,
Stoneham,02840000,     212.1, 100.0,  10.8 to 1,  81.8,  92.7,
Stoughton,02850000,     321.9,  99.7,  11.5 to 1,  81.7,  95.1,
Sturbridge,02870000,      72.0, 100.0,  12.5 to 1,  90.3,  95.8,
Sturgis Charter Public (District),04890000,      88.1,  67.0,   9.4 to 1,  79.3,  85.7,
Sudbury,02880000,     229.0,  95.6,  11.1 to 1,  87.3,  98.1,
Sunderland,02890000,      23.9, 100.0,   7.7 to 1,  77.4, 100.0,
Sutton,02900000,      98.0, 100.0,  13.4 to 1,  94.9,  96.9,
Swampscott,02910000,     188.1,  98.9,  11.0 to 1,  86.9,  94.1,
Swansea,02920000,     150.3, 100.0,  13.6 to 1,  91.4,  95.5,
TEC Connections Academy Commonwealth Virtual School District,39020000,     125.5, 100.0,  23.2 to 1,  82.4,  95.2,
Tantasqua,07700000,     149.4, 100.0,  11.8 to 1,  81.2,  92.9,
Taunton,02930000,     556.5,  99.8,  14.4 to 1,  82.5,  92.6,
Tewksbury,02950000,     254.1, 100.0,  12.6 to 1,  88.5,  96.9,
Tisbury,02960000,      39.8, 100.0,   6.8 to 1,  87.4,  94.5,
Topsfield,02980000,      54.7, 100.0,  11.2 to 1,  88.7, 100.0,
Tri-County Regional Vocational Technical,08780000,      85.9,  98.8,  11.2 to 1,  83.6,  93.0,
Triton,07730000,     211.2, 100.0,  10.2 to 1,  86.4,  92.8,
Truro,03000000,      16.1, 100.0,   5.7 to 1,  72.6, 100.0,
Tyngsborough,03010000,     126.5, 100.0,  12.2 to 1,  88.8,  98.4,
UP Academy Charter School of Boston (District),04800000,      32.0,  93.8,   5.2 to 1,  68.8,  62.5,
UP Academy Charter School of Dorchester (District),35050000,      55.5,  81.1,  10.4 to 1,  43.2,  73.0,
Up-Island Regional,07740000,      54.0,  99.3,   7.4 to 1,  81.0,  89.6,
Upper Cape Cod Regional Vocational Technical,08790000,      86.8,  89.6,   9.5 to 1,  76.4,  77.0,
Uxbridge,03040000,     135.4,  98.5,  12.1 to 1,  88.0,  94.8,
Veritas Preparatory Charter School (District),04980000,      64.4,  54.4,   9.6 to 1,  34.2,  93.8,
Wachusett,07750000,     467.7,  99.3,  14.3 to 1,  91.4,  96.8,
Wakefield,03050000,     287.2, 100.0,  11.7 to 1,  85.0,  96.5,
Wales,03060000,      10.8,  90.7,   8.6 to 1,  61.1,  88.9,
Walpole,03070000,     305.7,  99.7,  11.9 to 1,  84.0,  96.2,
Waltham,03080000,     552.3,  99.8,  10.3 to 1,  81.8,  92.6,
Ware,03090000,      89.5,  99.6,  12.6 to 1,  87.1,  91.1,
Wareham,03100000,     178.0,  99.4,  11.0 to 1,  80.1,  93.1,
Warwick,03120000,       5.2, 100.0,   5.2 to 1,  38.5, 100.0,
Watertown,03140000,     266.5,  96.8,  10.2 to 1,  81.4,  96.6,
Wayland,03150000,     240.6,  99.1,  11.4 to 1,  92.4,  97.6,
Webster,03160000,     145.7, 100.0,  11.7 to 1,  85.6,  94.5,
Wellesley,03170000,     391.7, 100.0,  10.5 to 1,  88.6,  96.7,
Wellfleet,03180000,      12.6, 100.0,   7.3 to 1,  76.1,  84.9,
West Boylston,03220000,      79.8, 100.0,  11.3 to 1,  81.5,  87.8,
West Bridgewater,03230000,     103.4, 100.0,  13.6 to 1,  84.3,  98.1,
West Springfield,03320000,     343.3,  99.7,  11.6 to 1,  91.5,  96.8,
Westborough,03210000,     333.9,  99.7,  11.6 to 1,  90.2,  96.3,
Westfield,03250000,     418.9,  98.1,  11.5 to 1,  86.4,  94.1,
Westford,03260000,     367.7,  98.0,  12.1 to 1,  89.9,  96.5,
Westhampton,03270000,      17.0, 100.0,   6.1 to 1, 100.0,  90.6,
Weston,03300000,     173.8,  99.3,  11.7 to 1,  89.0,  94.0,
Westport,03310000,     124.5, 100.0,  12.1 to 1,  87.3,  93.8,
Westwood,03350000,     238.0,  99.6,  12.1 to 1,  88.5,  95.0,
Weymouth,03360000,     458.5,  99.6,  12.3 to 1,  84.8,  95.2,
Whately,03370000,      15.7, 100.0,   8.0 to 1,  87.3, 100.0,
Whitman-Hanson,07800000,     254.7, 100.0,  13.7 to 1,  85.6,  95.4,
Whittier Regional Vocational Technical,08850000,     124.2,  97.6,  10.3 to 1,  87.2,  85.5,
Williamsburg,03400000,      17.1, 100.0,   7.2 to 1, 100.0,  92.7,
Wilmington,03420000,     262.2, 100.0,  10.5 to 1,  86.7,  97.3,
Winchendon,03430000,      90.7,  97.8,  13.4 to 1,  78.1,  91.2,
Winchester,03440000,     342.4, 100.0,  12.6 to 1,  88.3,  96.6,
Winthrop,03460000,     157.6,  97.3,  12.5 to 1,  70.8,  91.9,
Woburn,03470000,     383.3,  99.0,  11.5 to 1,  85.4,  96.6,
Worcester,03480000,"   2,042.9",  98.0,  11.9 to 1,  76.2,  90.4,
Worcester Cultural Academy Charter Public School (District),35190000,       8.4, 100.0,  16.1 to 1,  17.0, 100.0,
Worthington,03490000,       9.2, 100.0,   7.9 to 1,  69.6,  89.1,
Wrentham,03500000,      80.0, 100.0,  12.3 to 1,  87.0, 100.0,
State Totals,00000000,"  77,630.3",  97.1,  11.8 to 1,  80.8,  93.2,
