2023-24 (March) Attendance (District)  - All Students,,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
Chicopee,00610000,  92.0,   8.5,  30.8,  28.2,   7.9,  28.6
Christa McAuliffe Charter School (District),04180000,  95.5,   5.0,  13.3,   8.6,   2.0,   0.0
City on a Hill Charter Public School (District),04370000,  87.1,  12.5,  46.0,  47.0,  20.0,   0.0
Clarksburg,00630000,  95.3,   5.4,  12.9,   8.6,   1.0,   7.1
Clinton,00640000,  95.8,   4.7,  13.8,   8.7,   1.6,   0.0
Codman Academy Charter Public (District),04380000,  91.6,   9.3,  34.7,  26.9,   8.7,   0.0
Cohasset,00650000,  95.1,   5.4,  12.6,   7.1,   1.0,   5.0
Collegiate Charter School of Lowell (District),35030000,  93.4,   7.1,  24.5,  18.7,   4.7,  11.9
Community Charter School of Cambridge (District),04360000,  95.0,   5.3,  17.9,  15.6,   3.0,   0.0
Community Day Charter Public School (District),04400000,  94.6,   6.3,  20.1,  13.9,   1.2,   0.0
Concord,00670000,  95.4,   5.2,  13.8,   8.2,   0.8,   1.7
Concord-Carlisle,06400000,  94.8,   5.8,  14.8,  10.7,   2.3,   0.0
Conservatory Lab Charter (District),04390000,  93.3,   7.5,  28.5,  21.7,   5.3,  21.9
Conway,00680000,  94.6,   6.1,  17.6,   9.5,   0.7,   0.0
Danvers,00710000,  93.1,   7.4,  24.5,  21.1,   4.0,  20.2
Dartmouth,00720000,  94.5,   6.0,  17.6,  12.9,   3.1,   8.6
Dedham,00730000,  94.4,   6.1,  18.0,  15.1,   2.6,   0.0
Deerfield,00740000,  93.7,   7.1,  19.9,  14.8,   3.5,   0.0
Dennis-Yarmouth,06450000,  92.1,   8.4,  28.3,  25.7,   7.2,   0.0
Dighton-Rehoboth,06500000,  94.2,   6.3,  18.9,  15.5,   2.4,  10.2
Douglas,00770000,  93.3,   7.2,  25.5,  18.5,   3.2,   9.8
Dover,00780000,  95.2,   5.4,  15.6,   9.4,   0.6,  14.0
Dover-Sherborn,06550000,  95.7,   4.9,  12.2,   6.2,   0.8,   7.3
