2023-24 (March) Attendance (District)  - All Students,,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
Shrewsbury,02710000,  94.6,   5.9,  17.8,  13.1,   2.8,   0.6
Shutesbury,02720000,  93.8,   6.8,  25.0,  14.3,   0.9,   0.0
Silver Lake,07600000,  93.4,   7.4,  24.8,  18.2,   4.3,  12.0
Sizer School: A North Central Charter Essential (District),04740000,  88.8,  12.1,  47.0,  41.1,  13.7,  17.1
Somerset,02730000,  94.4,   6.3,  19.6,  13.8,   2.2,   9.8
Somerset Berkley Regional School District,07630000,  92.5,   8.4,  25.1,  20.9,   7.3,  10.0
Somerville,02740000,  92.5,   8.3,  29.5,  23.3,   6.4,  18.8
South Hadley,02780000,  92.2,   8.7,  30.0,  23.1,   7.5,   0.2
South Middlesex Regional Vocational Technical,08290000,  93.9,   6.8,  22.3,  16.2,   3.8,   0.0
South Shore Charter Public (District),04880000,  93.9,   6.7,  21.4,  16.9,   4.4,  16.4
South Shore Regional Vocational Technical,08730000,  94.5,   6.3,  19.2,  13.5,   2.8,   0.0
Southampton,02750000,  95.0,   5.6,  15.8,   8.4,   0.6,   0.0
Southborough,02760000,  93.9,   6.9,  23.0,  15.8,   3.5,   0.0
Southbridge,02770000,  90.6,  10.2,  37.5,  31.4,  10.4,  26.5
Southeastern Regional Vocational Technical,08720000,  95.2,   5.2,  14.0,  11.5,   2.1,   3.4
Southern Berkshire,07650000,  92.2,   8.6,  33.3,  24.2,   6.0,   8.6
Southern Worcester County Regional Vocational School District,08760000,  95.2,   5.3,  14.7,   9.0,   1.7,   1.8
Southwick-Tolland-Granville Regional School District,07660000,  94.7,   5.8,  16.6,  11.1,   1.8,   8.2
Spencer-E Brookfield,07670000,  92.8,   7.9,  28.4,  21.6,   5.0,   0.7
Springfield,02810000,  91.1,   9.6,  37.6,  31.2,   9.3,  21.2
Springfield International Charter (District),04410000,  91.8,   8.8,  32.6,  27.2,   6.1,  21.4
Springfield Preparatory Charter School (District),35100000,  94.5,   6.0,  17.6,  12.0,   1.8,   6.9
Stoneham,02840000,  93.9,   6.8,  21.7,  15.4,   3.4,   5.6
Stoughton,02850000,  94.1,   6.3,  19.2,  17.6,   4.3,   0.0
Sturbridge,02870000,  94.6,   6.0,  18.9,  12.4,   0.8,   0.0
Sturgis Charter Public (District),04890000,  93.3,   7.6,  27.3,  18.8,   4.2,   8.5
Sudbury,02880000,  95.6,   5.0,  11.7,   7.3,   0.9,   1.5
Sunderland,02890000,  93.7,   7.0,  25.4,  17.5,   1.6,   0.0
Sutton,02900000,  94.2,   6.3,  19.2,  13.7,   2.4,   1.4
Swampscott,02910000,  93.6,   7.1,  24.5,  18.1,   3.2,  16.2
Swansea,02920000,  93.5,   7.3,  23.7,  17.3,   4.3,  12.6
TEC Connections Academy Commonwealth Virtual School District,39020000,  87.5,  11.8,  30.6,  32.7,  25.1,  19.6
Tantasqua,07700000,  94.1,   6.5,  21.4,  15.7,   4.4,   0.0
Taunton,02930000,  92.5,   8.1,  28.1,  21.8,   6.2,  21.2
Tewksbury,02950000,  94.6,   6.0,  17.7,  12.8,   2.8,   8.8
Tisbury,02960000,  92.3,   8.0,  33.2,  30.1,   4.8,   1.7
Topsfield,02980000,  95.3,   5.4,  13.3,   7.8,   0.8,  13.3
Tri-County Regional Vocational Technical,08780000,  94.5,   6.1,  20.5,  13.0,   2.5,   6.8
Triton,07730000,  93.6,   6.9,  23.0,  18.8,   4.2,  14.2
Truro,03000000,  92.8,   7.7,  32.3,  26.0,   2.1,  32.3
Tyngsborough,03010000,  94.4,   6.3,  20.7,  13.9,   2.6,   0.0
UP Academy Charter School of Boston (District),04800000,  89.3,  11.5,  42.9,  40.0,  15.9,  35.3
UP Academy Charter School of Dorchester (District),35050000,  92.8,   7.8,  27.6,  24.1,   7.3,  18.6
Up-Island Regional,07740000,  92.8,   7.6,  30.6,  26.7,   2.2,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,  92.9,   8.0,  28.9,  21.8,   6.1,   9.3
Uxbridge,03040000,  93.7,   6.8,  23.8,  17.9,   3.2,   6.7
Veritas Preparatory Charter School (District),04980000,  93.2,   7.6,  28.1,  20.0,   4.2,  39.1
Wachusett,07750000,  94.8,   5.7,  15.8,  10.6,   1.9,   0.0
Wakefield,03050000,  95.2,   5.3,  14.8,  12.2,   2.4,   0.0
Wales,03060000,  93.7,   7.1,  26.6,  17.0,   1.1,   0.0
Walpole,03070000,  95.0,   5.6,  15.0,   9.3,   1.5,   8.1
Waltham,03080000,  93.1,   7.4,  23.7,  18.9,   6.0,  20.3
Ware,03090000,  92.4,   8.4,  29.5,  25.1,   7.3,  14.0
Wareham,03100000,  92.7,   7.8,  28.5,  23.0,   5.6,  15.6
Warwick,03120000,  92.7,   8.2,  29.6,  22.2,   0.0,   0.0
Watertown,03140000,  93.6,   7.0,  20.4,  15.8,   5.0,   8.3
Wayland,03150000,  95.4,   5.0,  13.9,   9.8,   1.6,   0.6
Webster,03160000,  90.7,  10.0,  39.0,  32.7,   9.3,   0.0
Wellesley,03170000,  95.4,   5.2,  13.3,   8.9,   1.5,   0.1
Wellfleet,03180000,  93.7,   6.7,  16.5,  15.4,   0.0,  16.5
West Boylston,03220000,  94.4,   6.3,  19.7,  14.3,   2.4,  15.9
West Bridgewater,03230000,  94.3,   6.4,  20.1,  15.1,   2.5,  11.6
West Springfield,03320000,  93.3,   7.1,  24.7,  20.8,   5.2,   1.0
Westborough,03210000,  94.4,   6.2,  19.9,  14.6,   2.9,   0.5
Westfield,03250000,  92.7,   7.9,  26.6,  20.7,   5.9,   0.0
Westford,03260000,  93.9,   6.8,  22.8,  14.9,   2.0,   1.7
Westhampton,03270000,  93.7,   7.0,  21.5,  12.1,   2.8,   0.0
Weston,03300000,  96.6,   3.7,   8.0,   6.1,   0.7,   0.0
Westport,03310000,  94.3,   6.3,  19.0,  12.8,   2.4,   7.5
Westwood,03350000,  95.7,   4.9,  11.4,   7.6,   1.5,   3.3
Weymouth,03360000,  93.1,   7.4,  23.5,  21.0,   5.4,  15.6
Whately,03370000,  94.0,   6.8,  20.5,  15.7,   1.6,   0.0
Whitman-Hanson,07800000,  94.7,   5.9,  16.9,  12.3,   2.7,   7.8
Whittier Regional Vocational Technical,08850000,  94.7,   5.9,  15.1,   9.5,   2.4,   5.5
Williamsburg,03400000,  94.5,   6.1,  22.0,  14.6,   0.8,   0.0
Wilmington,03420000,  94.8,   5.7,  15.3,  11.7,   2.4,   5.9
Winchendon,03430000,  89.2,  11.4,  40.0,  35.5,  13.3,   5.1
Winchester,03440000,  95.2,   5.2,  13.5,  10.5,   1.0,   3.9
Winthrop,03460000,  93.8,   6.9,  23.2,  16.7,   3.7,   1.0
Woburn,03470000,  93.3,   7.1,  23.7,  21.3,   4.6,   0.0
Worcester,03480000,  91.8,   8.8,  31.2,  26.5,   8.4,  26.7
Worcester Cultural Academy Charter Public School (District),35190000,  94.8,   6.5,  23.4,  13.5,   1.4,  18.4
Worthington,03490000,  95.0,   5.4,  15.8,  13.2,   1.3,   0.0
Wrentham,03500000,  94.4,   6.0,  18.7,  11.1,   1.4,   0.0
State Totals,00000000,  93.1,   7.6,  24.8,  19.6,   5.4,  11.1
