Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Barnstable County,20.76,0.01,0.01,0,0.53,0.53,0,0.14,0.02,0.03,0.04,0.05,10.39,2.6,0.12,0.49,1.39,0.59,7.79,1.9,0.79,0.91,0.2,7.35,0.35,0.29,0.03,0.03,0.06,0,0.01,2019
Barnstable,23.03,0.07,0.05,0.02,0.52,0.52,,0.32,0.05,0.02,0.11,0.14,12.31,3.22,0.09,0.79,1.86,0.48,9.08,1.39,0.55,0.73,0.11,7.95,0.32,0.32,,,0.16,,,2019
Berkshire County,24.08,0.02,0.02,0,0.59,0.59,0,0.34,0.1,0.06,0.01,0.17,10.03,2.64,0.22,0.55,1.2,0.67,7.4,3.49,1.74,1.63,0.12,9.01,0.54,0.49,0.04,0.02,0.06,0,0,2019
Pittsfield,38.85,0.05,0.05,,0.85,0.85,,0.73,0.28,0.07,,0.38,18.29,5.47,0.54,0.95,2.77,1.21,12.82,6.22,3.1,2.91,0.21,11.62,1.02,0.95,0.05,0.02,0.07,,,2019
Taunton,16.34,0.04,0.04,,0.26,0.26,,0.3,0.05,0.09,0.04,0.12,9.59,3.21,0.39,0.67,1.32,0.84,6.38,1.53,1.02,0.47,0.04,4.21,0.37,0.28,0.05,0.04,0.05,,,2019
Chicopee,45.52,0.04,0.04,,0.61,0.61,,1.03,0.31,0.16,0.11,0.45,19.89,4.45,0.45,1.03,2.57,0.4,15.44,4.43,2.93,1.3,0.2,17.58,1.88,1.59,0.13,0.16,0.05,,,2019
Revere,23.2,0.04,0.04,,0.24,0.24,,0.71,0.21,0.22,0.11,0.17,10.01,2.29,0.39,0.47,0.8,0.63,7.72,1.27,0.82,0.37,0.07,9.78,1.14,1.03,,0.11,0.02,,,2019
MBTA - Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Groveland,2.48,0.15,0.15,,,,,,,,,,1.02,0.15,,,0.15,,0.88,0.15,,0.15,,0.88,0.29,0.29,,,,,,2019
Haverhill,29.58,0.02,0.02,,0.23,0.22,0.02,0.23,0.08,0.06,0.02,0.08,15.86,4.75,0.5,0.61,2.35,1.3,11.11,2.8,1.19,1.53,0.08,8.95,1.39,1.24,0.05,0.11,0.09,,,2019
