Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Hampshire County,"2,908",3,1,2,93,90,3,23,4,1,0,18,"1,125",306,14,58,124,110,819,250,119,115,16,"1,316",84,77,2,5,14,0,0,2019
Northampton,860,1,1,,25,25,,9,,,,9,370,83,,21,41,21,287,53,21,31,1,376,20,20,,,6,,,2019
Cambridge,"3,160",1,1,,26,26,,67,6,7,25,29,"1,072",240,26,54,118,42,832,161,60,88,13,"1,726",98,84,4,10,8,1,,2019
Framingham,"1,424",1,1,,21,21,,29,6,8,1,14,568,246,11,53,84,98,322,158,41,54,63,612,33,30,1,2,2,,,2019
Groton,58,1,1,,5,5,,,,,,,29,2,,,,2,27,4,2,2,,19,,,,,,,,2019
Lexington,142,1,1,,4,4,,,,,,,44,14,,1,4,9,30,8,4,4,,85,,,,,,,,2019
Malden,"1,205",1,1,,9,9,,26,2,6,4,14,449,126,13,23,68,22,323,103,49,53,1,522,95,76,4,15,,,,2019
Tewksbury,624,1,1,,23,23,,7,,1,1,5,244,51,2,10,29,10,193,19,11,4,4,310,18,16,1,1,1,1,,2019
Brookline,657,1,1,,2,2,,14,,,13,1,124,40,,6,32,2,84,45,31,2,12,465,6,6,,,,,,2019
Plainville,84,1,1,,,,,,,,,,18,5,,,5,,13,10,7,2,1,52,3,3,,,,,,2019
Quincy,"2,163",1,1,,31,31,,61,16,3,10,32,914,282,5,34,123,120,632,216,120,77,19,883,55,45,2,8,2,,,2019
Randolph,795,1,1,,6,6,,10,5,2,,3,368,65,16,15,20,14,303,69,65,4,,307,33,25,,8,1,,,2019
Stoughton,555,1,1,,9,9,,7,2,1,,4,251,41,6,7,27,1,210,33,20,10,3,231,22,19,3,,1,,,2019
Wareham,674,1,1,,23,23,,9,2,2,2,3,319,128,3,22,68,35,191,51,32,14,5,251,20,19,1,,,,,2019
Athol,246,1,1,,8,8,,2,,,,2,124,39,1,8,15,15,85,13,6,7,,94,4,3,,1,0,,,2019
Clinton,32,1,1,,,,,,,,,,17,3,1,,,2,14,1,,1,,11,2,2,,,,,,2019
Fitchburg,"1,114",1,1,,26,24,2,36,9,6,2,19,509,154,23,37,55,39,355,94,59,28,7,400,45,37,4,4,2,,1,2019
Bourne,454,,,,13,13,,2,,,2,,221,39,5,10,21,3,182,43,12,26,5,162,13,5,3,5,,,,2019
