Town,Town Code,Local Public Schools,Academic Regional Schools,Vocational Technical Regional Schools,Collaboratives,Charter Schools,Out-of-District Public Schools,Home Schooled,In State Private and Parochial Schools,Out-of-state Private and Parochial Schools,Total,Total Public,% Public,End of School Year
Gosnold,1090000,5,0,0,0,0,0,0,0,2,7,5,71.4,2021
Grafton,1100000,2887,0,70,12,23,49,79,197,0,3317,3041,91.7,2021
Granby,1110000,578,0,20,5,22,62,29,40,0,756,687,90.9,2021
Granville,1120000,0,144,0,0,0,16,12,7,2,181,160,88.4,2021
Great Barrington (non-op),1130000,0,609,0,0,0,42,23,136,13,823,651,79.10000000000001,2021
Greenfield,1140000,1347,0,126,22,103,275,135,64,14,2086,1873,89.8,2021
Groton (non-op),1150000,0,1684,45,2,36,30,56,118,38,2009,1797,89.5,2021
Groveland (non-op),1160000,0,817,49,3,3,12,26,36,1,947,884,93.4,2021
Hadley,1170000,379,0,0,5,46,69,12,43,0,554,499,90.10000000000001,2021
Halifax,1180000,570,475,0,12,17,27,18,21,0,1140,1101,96.60000000000001,2021
Hamilton (non-op),1190000,0,1026,17,3,0,8,67,205,4,1330,1054,79.3,2021
Hampden (non-op),1200000,0,548,0,0,1,6,17,31,0,603,555,92.0,2021
Hancock,1210000,31,0,8,0,0,33,4,0,0,76,72,94.7,2021
Hanover,1220000,2611,0,57,2,37,33,29,118,5,2892,2740,94.7,2021
Hanson (non-op),1230000,0,1406,86,16,30,13,49,29,0,1629,1551,95.2,2021
Hardwick (non-op),1240000,0,304,25,0,1,26,14,21,0,391,356,91.10000000000001,2021
Harvard,1250000,897,0,3,9,27,5,41,45,0,1027,941,91.60000000000001,2021
Harwich,1260000,0,1150,52,2,47,119,49,42,0,1461,1370,93.8,2021
Hatfield,1270000,253,0,21,0,10,34,1,27,1,347,318,91.60000000000001,2021
Haverhill,1280000,7257,0,868,21,350,154,176,849,16,9691,8650,89.3,2021
Hawley (non-op),1290000,0,18,4,0,0,5,8,0,0,35,27,77.10000000000001,2021
Heath (non-op),1300000,0,61,6,0,2,16,13,7,0,105,85,81.0,2021
Hingham,1310000,3833,0,0,12,9,24,137,752,1,4768,3878,81.3,2021
Hinsdale (non-op),1320000,0,153,7,0,3,12,7,9,0,191,175,91.60000000000001,2021
Holbrook,1330000,1210,0,122,11,25,2,13,110,0,1493,1370,91.8,2021
Holden (non-op),1340000,0,3053,88,7,17,62,99,245,5,3576,3227,90.2,2021
Holland,1350000,183,89,56,2,5,8,25,0,0,368,343,93.2,2021
Holliston,1360000,2596,0,65,4,16,57,48,132,8,2926,2738,93.60000000000001,2021
Holyoke,1370000,4253,0,0,0,742,291,47,233,5,5571,5286,94.9,2021
Hopedale,1380000,848,0,51,10,7,44,13,25,3,1001,960,95.9,2021
Hopkinton,1390000,3844,0,26,9,11,23,32,81,3,4029,3913,97.10000000000001,2021
Hubbardston (non-op),1400000,0,452,41,4,0,24,50,17,0,588,521,88.60000000000001,2021
Hudson,1410000,2392,0,222,12,179,30,56,52,0,2943,2835,96.3,2021
Hull,1420000,771,0,0,9,22,15,47,52,0,916,817,89.2,2021
Huntington (non-op),1430000,0,213,27,0,4,24,21,6,0,295,268,90.9,2021
Ipswich,1440000,1518,0,38,0,0,24,47,108,8,1743,1580,90.7,2021
Kingston,1450000,1021,889,0,13,70,19,50,110,0,2172,2012,92.60000000000001,2021
Lakeville,1460000,0,1463,145,13,11,35,47,81,1,1796,1667,92.8,2021
Lancaster (non-op),1470000,0,920,57,0,7,24,55,58,1,1122,1008,89.8,2021
Lanesborough,1480000,0,320,21,0,1,35,20,6,0,403,377,93.60000000000001,2021
Lawrence,1490000,12642,0,1209,19,1793,23,37,953,2,16678,15686,94.10000000000001,2021
Lee,1500000,449,0,0,0,0,108,14,53,0,624,557,89.3,2021
Leicester,1510000,1274,0,71,11,26,43,44,42,0,1511,1425,94.3,2021
Lenox,1520000,436,0,0,0,2,60,19,30,0,547,498,91.0,2021
Leominster,1530000,6036,0,13,49,95,46,118,378,0,6735,6239,92.60000000000001,2021
Leverett,1540000,90,74,5,0,6,9,21,9,0,214,184,86.0,2021
Lexington,1550000,6624,0,70,40,5,29,54,762,46,7630,6768,88.7,2021
Leyden (non-op),1560000,0,6,1,0,0,4,16,8,0,35,11,31.400000000000002,2021
Lincoln,1570000,405,182,8,2,0,6,19,95,0,717,603,84.10000000000001,2021
Littleton,1580000,1444,0,37,11,49,27,37,53,4,1662,1568,94.3,2021
Longmeadow,1590000,2596,0,1,11,20,4,50,142,54,2878,2632,91.5,2021
Lowell,1600000,13493,0,3548,13,1047,226,112,572,8,19019,18327,96.4,2021
Ludlow,1610000,2249,0,13,6,24,30,73,198,1,2594,2322,89.5,2021
Lunenburg,1620000,1541,0,80,0,34,0,109,75,0,1839,1655,90.0,2021
Lynn,1630000,15160,0,58,82,1853,153,72,502,0,17880,17306,96.8,2021
Lynnfield,1640000,2105,0,46,4,1,2,30,199,1,2388,2158,90.4,2021
Malden,1650000,5864,0,153,33,807,41,48,294,0,7240,6898,95.3,2021
Manchester (non-op),1660000,0,743,11,4,0,0,0,144,8,910,758,83.3,2021
Mansfield,1670000,3410,0,94,18,82,20,62,206,31,3923,3624,92.4,2021
Marblehead,1680000,2537,0,38,3,115,16,48,270,3,3030,2709,89.4,2021
Marion,1690000,374,323,21,4,2,6,28,114,3,875,730,83.4,2021
Marlborough,1700000,4478,0,412,15,494,105,77,194,0,5775,5504,95.3,2021
Marshfield,1710000,3684,0,13,16,26,30,49,185,0,4003,3769,94.2,2021
Mashpee,1720000,1306,0,44,9,58,119,46,92,1,1675,1536,91.7,2021
